# removed from sbzr.extended.common.dict.yaml by optimize_dedup_scan.py --apply
# word	code	weight	original_lineno
李兆基	lizkji	999	18
陈一舟	cfyizb	993	21
本耀司	bfyksi	961	31
郑秀妍	zgxqyj	959	32
周晓辉	zbxchv	958	33
李家超	lijwck	952	35
张志东	zhzids	946	39
张晓龙	zhxcls	942	42
周世宗	zbsizs	940	43
吴谢宇	wuxxyu	938	45
张廷玉	zhtyyu	928	49
王世子	whsizi	925	51
是又想	siybxd	924	52
西湖岸	xihuvj	922	53
为一体	wzyiti	919	55
郑秀晶	zgxqjy	915	57
周其仁	zbqirf	907	62
已占用	yizjys	907	63
李天一	litmyi	906	66
李东学	lidsxt	905	68
田敦子	tmdpzi	904	72
建设施	jmsesi	900	75
陈建华	cfjmhw	898	77
大忌啊	dajiva	889	85
导光柱	dkgdzu	889	86
打击啊	dajiva	889	87
李金羽	lijnyu	885	90
张一曼	zhyimj	884	93
李成云	licgyp	882	95
肩射式	jmsesi	880	97
张一白	zhyibl	879	98
王小明	whxcmy	879	99
王永珀	whyspo	879	100
郭芙蓉	gofurs	879	101
杨惠妍	yhhvyj	873	108
郭田勇	gotmys	873	109
我贴的	wotxde	870	115
痴呆儿	cidlvr	870	116
人家上	rfjwsh	868	117
柯翰辰	kehjcf	868	118
张云雷	zhyplz	865	123
神翻译	sffjyi	865	124
王晓峰	whxcfg	864	125
是西安	sixivj	861	128
一预案	yiyuvj	857	138
陈建州	cfjmzb	856	140
去安丘	quvjqq	855	142
徐冬冬	xudsds	852	149
王大治	whdazi	852	150
九纬路	jqwzlu	851	151
精思汗	jysihj	851	153
没跳出	mztccu	850	156
王雪红	whxths	850	157
离场了	lichle	850	158
陈永仁	cfysrf	850	159
可以杠	keyigh	849	160
一份饭	yifffj	848	163
刘士余	lqsiyu	847	164
你撑把	nicgba	846	167
我身旁	wosfph	846	168
蒂安德	divjde	843	173
你头怎	nitbzf	842	175
多莱尔	dollvr	838	178
书院山	suyrsj	837	179
他微凉	tawzld	835	183
以黄色	yihdse	835	184
比安及	bivjji	835	185
王登峰	whdgfg	834	189
幽灵鲨	yblysa	833	192
出西安	cuxivj	832	194
永泰二	ystlvr	831	196
李迅雷	lixplz	829	200
王春英	whcpyy	828	202
一起按	yiqivj	827	203
吴某某	wumbmb	825	210
大灯笼	dadgls	825	211
周小平	zbxcpy	824	215
市北路	sibzlu	824	216
计其数	jiqisu	824	217
西安时	xivjsi	823	222
异型齿	yixyci	821	226
很像啊	hfxdva	821	227
饥饿时	jivesi	819	233
参战吗	cjzjma	816	236
西奥菲	xivkfz	815	242
孙晓梅	spxcmz	813	247
王佳芝	whjwzi	812	248
省一份	sgyiff	811	256
理财类	licllz	810	266
李婷婷	lityty	809	269
一只鹤	yizihe	808	270
一直红	yizihs	808	271
李一男	liyinj	808	274
李立三	lilisj	806	278
专辑啊	zrjiva	805	281
王沪宁	whhuny	805	282
陈思成	cfsicg	805	283
眼神啊	yjsfva	804	287
喜安智	xivjzi	803	288
始终在	sizszl	803	289
对齐的	dvqide	803	290
卢西安	luxivj	800	299
